cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
01047;Ribera Baja/Erriberabeitia;17,25;14,28;13,73;1,13;20692,0;35,22;51,29;7,66;18,02;2,07;34,42;30,97;56,76;10,79;21,66;42,93;7,76;67,08;61,59
01049;Añana;8,37;29,5;11,35;1,56;23745,0;37,01;47,24;5,51;22,78;7,59;22,78;32,0;58,67;14,29;16,54;40,6;2,74;83,53;54,89
01051;Agurain/Salvatierra;21,09;16,92;15,29;1,7;17531,0;34,78;52,48;6,21;11,55;1,83;33,43;22,73;57,62;13,73;18,64;35,34;12,14;65,96;59,11
01052;Samaniego;16,78;16,58;15,75;2,15;15701,0;35,71;50,84;2,94;38,28;31,25;25,78;20,18;48,62;16,6;25,91;34,41;6,52;66,84;56,1
01053;San Millán/Donemiliaga;14,09;23,41;4,69;1,23;22071,0;36,76;51,04;4,33;30,0;15,28;28,33;30,61;60,3;5,2;18,43;44,72;5,36;80,96;59,21
01054;Urkabustaiz;18,74;14,66;13,49;1,28;20241,0;39,64;48,47;6,62;16,0;5,71;21,0;35,52;50,61;9,21;22,58;49,31;9,44;71,29;64,69
01055;Valdegovía/Gaubea;9,75;26,81;11,57;1,05;21421,0;34,16;54,18;4,33;24,71;9,38;27,69;28,04;62,03;13,15;22,39;39,96;13,52;65,81;51,01
01056;Harana/Valle de Arana;8,36;32,21;7,51;0,91;18376,0;34,69;47,45;3,57;32,18;18,39;27,59;29,49;60,26;17,5;17,0;24,5;10,75;67,48;46,5
01057;Villabuena de Álava/Eskuernaga;11,0;26,71;12,5;1,57;14544,0;35,83;49,61;5,91;50,0;39,29;20,71;21,55;53,45;17,76;19,31;32,05;6,16;80,59;56,81
01058;Legutio;17,21;16,41;18,39;1,18;22457,0;38,24;51,25;5,4;19,73;3,15;29,49;35,84;50,11;11,86;20,45;44,18;9,9;67,35;60,09
01059;Vitoria-Gasteiz;16,35;20,53;18,13;1,17;21607,0;36,23;50,21;6,25;12,49;0,48;24,81;37,65;49,64;12,02;21,94;41,94;10,37;67,35;56,89
01060;Yécora/Iekora;14,86;25,8;19,2;1,63;16638,0;31,67;55,2;3,17;37,27;40,0;11,82;25,81;56,99;17,54;17,98;32,02;8,66;72,05;55,7
01061;Zalduondo;10,2;16,53;3,57;0,74;24481,0;41,14;52,57;3,43;17,59;6,48;22,22;44,12;46,08;2,81;21,35;57,87;7,21;70,55;63,43
01062;Zambrana;13,85;20,4;12,17;1,23;20497,0;37,8;50,66;4,72;13,89;7,22;32,22;32,93;46,11;9,97;20,46;45,52;12,78;67,81;58,66
01063;Zuia;12,89;19,82;7,82;0,99;27172,0;39,35;48,43;5,56;18,73;2,85;20,61;47,52;44,7;8,91;17,86;56,39;5,81;71,33;57,2
01901;Iruña Oka/Iruña de Oca;17,86;12,09;16,69;1,14;20746,0;35,21;53,11;7,2;14,14;1,49;31,21;25,49;57,19;8,87;23,92;37,89;8,8;67,44;64,98
01902;Lantarón;11,57;22,84;12,51;1,68;21707,0;36,63;47,01;8,55;21,05;10,05;33,97;25,77;62,11;11,15;22,42;38,91;9,25;68,78;54,11
